ID,Block
31816,498174
31815,498173
31814,498171
31813,498167
31812,498162
31811,498151
31810,498134
31809,498130
31808,498124
31807,498121
31806,498117
31805,498113
31804,498103
31803,498100
31802,498096
31801,498089
31800,498085
31799,498082
31798,498068
31797,498063
31796,498055
31795,498054
31794,498040
31793,498024
31792,498016
31791,498015
31790,498001
31789,497992
31788,497987
31787,497979
31786,497975
31785,497938
31784,497926
31783,497906
31782,497881
31781,497871
31780,497865
31779,497860
31778,497849
31777,497844
31776,497837
31775,497830
31774,497829
31773,497828
31772,497826
31771,497825
31770,497824
31769,497820
31768,497817
31767,497816
31766,497804
31765,497794
31764,497779
31763,497764
31762,497760
31761,497755
31760,497746
31759,497687
31758,497677
31757,497666
31756,497663
31755,497604
31754,497594
31753,497580
31752,497560
31751,497556
31750,497535
31749,497524
31748,497523
31747,497507
31746,497504
31745,497498
31744,497496
31743,497492
31742,497480
31741,497479
31740,497451
31739,497446
31738,497432
31737,497429
31736,497420
31735,497398
31734,497386
31733,497373
31732,497360
31731,497358
31730,497344
31729,497337
31728,497330
31727,497328
31726,497321
31725,497320
31724,497311
31723,497306
31722,497297
31721,497296
31720,497274
31719,497271
31718,497261
31717,497251
31716,497233
31715,497229
31714,497211
31713,497205
31712,497201
31711,497196
31710,497195
31709,497187
31708,497176
31707,497175
31706,497173
31705,497168
31704,497164
31703,497150
31702,497141
31701,497133
31700,497129
31699,497116
31698,497105
31697,497093
31696,497080
31695,497063
31694,497043
31693,497038
31692,497032
31691,497029
31690,496996
31689,496994
31688,496990
31687,496984
31686,496943
31685,496940
31684,496935
31683,496916
31682,496911
31681,496909
31680,496900
31679,496899
31678,496890
31677,496885
31676,496884
31675,496873
31674,496870
31673,496860
31672,496857
31671,496850
31670,496845
31669,496841
31668,496840
31667,496838
31666,496837
31665,496832
31664,496829
31663,496807
31662,496772
31661,496771
31660,496762
31659,496758
31658,496752
31657,496725
31656,496723
31655,496721
31654,496719
31653,496709
31652,496685
31651,496673
31650,496669
31649,496633
31648,496611
31647,496588
31646,496585
31645,496578
31644,496558
31643,496554
31642,496523
31641,496521
31640,496514
31639,496511
31638,496489
31637,496471
31636,496461
31635,496458
31634,496452
31633,496435
31632,496428
31631,496421
31630,496417
31629,496413
31628,496408
31627,496401
31626,496387
31625,496386
31624,496360
31623,496335
31622,496299
31621,496297
31620,496257
31619,496255
31618,496251
31617,496243
31616,496239
31615,496212
31614,496208
31613,496202
31612,496197
31611,496193
31610,496192
31609,496182
31608,496180
31607,496178
31606,496164
31605,496146
31604,496135
31603,496127
31602,496121
31601,496116
31600,496106
31599,496103
31598,496090
31597,496087
31596,496082
31595,496076
31594,496064
31593,496061
31592,496034
31591,496029
31590,496028
31589,496008
31588,495990
31587,495960
31586,495947
31585,495940
31584,495936
31583,495927
31582,495925
31581,495911
31580,495909
31579,495895
31578,495894
31577,495893
31576,495891
31575,495848
31574,495839
31573,495823
31572,495807
31571,495804
31570,495799
31569,495794
31568,495788
31567,495783
31566,495755
31565,495749
31564,495746
31563,495744
31562,495736
31561,495730
31560,495728
31559,495726
31573,495823
31572,495807
31571,495804
31570,495799
31569,495794
31568,495788
31567,495783
31566,495755
31565,495749
31564,495746
31563,495744
31562,495736
31561,495730
31560,495728
31559,495726
31558,495723
31557,495713
31556,495701
31555,495700
31554,495644
31553,495594
31552,495583
31551,495578
31550,495577
31549,495575
31548,495530
31547,495517
31546,495513
31545,495469
31544,495459
31543,495446
31542,495441
31541,495436
31540,495434
31539,495429
31538,495427
31537,495412
31536,495410
31535,495407
31534,495400
31533,495391
31532,495380
31531,495363
31530,495353
31529,495341
31528,495314
31527,495306
31526,495303
31525,495296
31524,495287
31523,495284
31522,495277
31521,495239
31520,495235
31519,495228
31518,495206
31517,495195
31516,495193
31515,495190
31514,495165
31513,495158
31512,495148
31511,495144
31510,495140
31509,495139
31508,495137
31507,495135
31506,495116
31505,495103
31504,495097
31503,495084
31502,495073
31501,495071
31500,495063
31499,495035
31498,495017
31497,495011
31496,494987
31495,494971
31494,494967
31493,494953
31492,494950
31491,494931
31490,494926
31489,494862
31488,494859
31487,494851
31486,494845
31485,494840
31484,494794
31483,494783
31482,494781
31481,494777
31480,494764
31479,494760
31478,494758
31477,494754
31476,494735
31475,494724
31474,494723
31473,494709
31472,494706
31471,494703
31470,494698
31469,494657
31468,494640
31467,494623
31466,494606
31465,494588
31464,494585
31463,494583
31462,494561
31461,494547
31460,494544
31459,494529
31458,494517
31457,494495
31456,494474
31455,494471
31454,494469
31453,494454
31452,494448
31451,494445
31450,494438
31449,494430
31448,494414
31447,494410
31446,494392
31445,494390
31444,494389
31443,494385
31442,494383
31441,494378
31440,494366
31439,494363
31438,494356
31437,494355
31436,494346
31435,494330
31434,494327
31433,494312
31432,494301
31431,494288
31430,494275
31429,494262
31428,494261
31427,494259
31426,494254
31425,494253
31424,494243
31423,494239
31422,494238
31421,494221
31420,494206
31419,494203
31418,494191
31417,494180
31416,494171
31415,494161
31414,494157
31413,494137
31412,494121
31411,494101
31410,494093
31409,494085
31408,494077
31407,494074
31406,494071
31405,494066
31404,494065
31403,494060
31402,494057
31401,494055
31400,494052
31399,494050
31398,494048
31397,494038
31396,494032
31395,494030
31394,494026
31393,494017
31392,494006
31391,493998
31390,493993
31389,493991
31388,493990
31387,493982
31386,493974
31385,493963
31384,493945
31383,493941
31382,493929
31381,493920
31380,493916
31379,493909
31378,493898
31377,493881
31376,493854
31375,493845
31374,493842
31373,493836
31372,493826
31371,493808
31370,493801
31369,493785
31368,493775
31367,493757
31366,493753
31365,493748
31364,493736
31363,493734
31362,493710
31361,493709
31360,493679
31359,493678
31358,493652
31357,493639
31356,493616
31355,493614
31354,493606
31353,493602
31352,493575
31351,493571
31350,493560
31349,493547
31348,493543
31347,493540
31346,493524
31345,493504
31344,493503
31343,493492
31342,493476
31341,493465
31340,493415
31339,493405
31338,493404
31337,493385
31336,493362
31335,493356
31334,493348
31333,493346
31332,493344
31331,493330
31330,493293
31329,493280
31328,493258
31327,493220
31326,493210
31325,493209
31324,493188
31323,493170
31322,493161
31321,493133
31320,493083
31319,493082
31318,493080
31317,493049
31316,493014
31315,493000
31314,492986
31313,492984
31312,492932
31311,492928
31310,492899
31309,492898
31308,492886
31307,492882
31306,492875
31305,492871
31304,492865
31303,492840
31302,492836
31301,492825
31300,492812
31299,492808
31298,492758
31297,492757
31296,492752
31295,492750
31294,492741
31293,492733
31292,492685
31291,492682
31290,492675
31289,492674
31288,492667
31287,492665
31286,492655
31285,492644
31284,492640
31283,492634
31282,492629
31281,492603
31280,492577
31279,492574
31278,492569
31277,492547
31276,492541
31275,492515
31274,492511
31273,492502
31272,492491
31271,492486
31270,492481
31269,492471
31268,492448
31267,492445
31266,492408
31265,492398
31264,492391
31263,492384
31262,492373
31261,492362
31260,492321
31259,492308
31258,492297
31257,492296
31256,492291
31255,492288
31254,492283
31253,492276
31252,492271
31251,492261
31250,492255
31249,492240
31248,492230
31247,492228
31246,492139
31245,492130
31244,492126
31243,492114
31242,492065
31241,492057
31240,492036
31239,492024
31238,492022
31237,492013
31236,492003
31235,491995
31234,491973
31233,491969
31232,491967
31231,491953
31230,491946
31229,491943
31228,491936
31227,491929
31226,491900
31225,491869
31224,491867
31223,491851
31222,491842
31221,491809
31220,491797
31219,491778
31218,491776
31217,491736
31216,491729
31215,491723
31214,491707
31213,491685
31212,491676
31211,491675
31210,491674
31209,491656
31208,491652
31207,491640
31206,491636
31205,491606
31204,491574
31203,491570
31202,491566
31201,491563
31200,491557
31199,491547
31198,491545
31197,491529
31196,491516
31195,491506
31194,491474
31193,491460
31192,491458
31191,491453
31190,491445
31189,491444
31188,491422
31187,491415
31186,491408
31185,491379
31184,491373
31183,491371
31182,491366
31181,491355
31180,491350
31179,491329
31178,491317
31177,491306
31176,491301
31175,491270
31174,491265
31173,491257
31172,491229
31171,491204
31170,491188
31169,491152
31168,491149
31167,491144
31166,491133
31165,491132
31164,491128
31163,491102
31162,491089
31161,491013
31160,491002
31159,490988
31158,490984
31157,490969
31156,490961
31155,490939
31154,490914
31153,490875
31152,490794
31151,490785
31150,490779
31149,490775
31148,490741
31147,490740
31146,490724
31145,490722
31144,490719
31143,490705
31142,490704
31141,490679
31140,490678
31139,490669
31138,490633
31137,490620
31136,490611
31135,490605
31134,490596
31133,490588
31132,490566
31131,490563
31130,490544
31129,490524
31128,490497
31127,490459
31126,490449
31125,490437
31124,490434
31123,490430
31122,490411
31121,490396
31120,490395
31119,490336
31118,490322
31117,490319
31116,490318
31115,490305
31114,490290
31113,490288
31112,490265
31111,490258
31110,490254
31109,490253
31108,490236
31107,490235
31106,490231
31105,490205
31104,490190
31103,490189
31102,490186
31101,490180
31100,490161
31099,490106
31098,490101
31097,490072
31096,490066
31095,490063
31094,490061
31093,490059
31092,490040
31091,490015
31090,490010
31089,489980
31088,489957
31087,489917
31086,489909
31085,489896
31084,489880
31083,489864
31082,489861
31081,489834
31080,489819
31079,489807
31078,489803
31077,489734
31076,489714
31075,489684
31074,489656
31073,489647
31072,489643
31071,489639
31070,489621
31069,489606
31068,489603
31067,489600
31066,489594
31065,489583
31064,489571
31063,489567
31062,489556
31061,489553
31060,489538
31059,489535
31058,489534
31057,489530
31056,489527
31055,489505
31054,489498
31053,489497
31052,489457
31051,489453
31050,489434
31049,489433
31048,489407
31047,489403
31046,489390
31045,489360
31044,489325
31043,489319
31042,489306
31041,489281
31040,489261
31039,489260
31038,489256
31037,489247
31036,489227
31035,489203
31034,489168
31033,489163
31032,489091
31031,489074
31030,489072
31029,489038
31028,489034
31027,488996
31026,488969
31025,488960
31024,488940
31023,488902
31022,488859
31021,488840
31020,488833
31019,488820
31018,488776
31017,488771
31016,488769
31015,488704
31014,488697
31013,488685
31012,488670
31011,488656
31010,488655
31009,488647
31008,488631
31007,488626
31006,488602
31005,488545
31004,488539
31003,488511
31002,488502
31001,488501
31000,488468
30999,488443
30998,488433
30997,488432
30996,488384
30995,488373
30994,488349
30993,488332
30992,488331
30991,488322
30990,488316
30989,488305
30988,488229
30987,488225
30986,488165
30985,488147
30984,488142
30983,488134
30982,488110
30981,488106
30980,488089
30979,488081
30978,488055
30977,488052
30976,488038
30975,488028
30974,487976
30973,487950
30972,487946
30971,487943
30970,487930
30969,487907
30968,487902
30967,487895
30966,487894
30965,487856
30964,487847
30963,487842
30962,487836
30961,487834
30960,487831
30959,487830
30958,487807
30957,487801
30956,487784
30955,487782
30954,487777
30953,487768
30952,487765
30951,487747
30950,487720
30949,487711
30948,487673
30947,487668
30946,487667
30945,487644
30944,487621
30943,487575
30942,487574
30941,487549
30940,487543
30939,487539
30938,487501
30937,487482
30936,487478
30935,487470
30934,487466
30933,487432
30932,487388
30931,487361
30930,487357
30929,487343
30928,487342
30927,487335
30926,487325
30925,487317
30924,487306
30923,487289
30922,487287
30921,487277
30920,487272
30919,487222
30918,487220
30917,487216
30916,487188
30915,487184
30914,487163
30913,487160
30912,487155
30911,487154
30910,487139
30909,487134
30908,487109
30907,487097
30906,487048
30905,487045
30904,487044
30903,487002
30902,486992
30901,486974
30900,486971
30899,486953
30898,486929
30897,486918
30896,486910
30895,486905
30894,486884
30893,486869
30892,486868
30891,486834
30890,486828
